,author,comment,published_time
242,beatsbybroly41,"""F ur life ""😂😂😂😂😂",2023-11-02T03:44:58Z
243,vincentoduric2079,he fact that lazer said he was the imposter and still didnt get voted out,2023-11-01T10:43:03Z
244,brilyman,man seeing deji in these vids with the boys makes me so happy especially hearing him laugh cause he's actually enjoying himself,2023-11-01T04:53:45Z
245,yair6611,Q,2023-11-01T02:45:59Z
246,miketurd6497,0:44 thought my AirPods ran out of battery,2023-10-31T16:41:14Z
247,GetBetter2345,I feel bad for tobi at the end he’s so sad,2023-10-31T08:40:29Z
248,adrian_is_the_king,my mom is dead :C,2023-10-30T17:30:35Z
249,JXELYT,why is luxs recording as crunchy as his hip?,2023-10-30T10:02:30Z
250,Marc-lx2ni,3:50 The editor is goated for this,2023-10-29T20:01:11Z
251,Wandsworth-pk5fc,2:59  Lamo😂😂😂😂💯💯,2023-10-29T16:28:07Z
252,m.s7949,The meme of borris caught me of guard after deji said 'Blue' and it was funny 😂,2023-10-28T20:41:08Z
253,comfyrian,why is danny always imposter i swear,2023-10-28T14:43:19Z
254,shortbread6233,why bring callux back he's so annyoing man like u can just feel the ego surging of him and his voice is so annoying,2023-10-27T23:01:17Z
255,NineJuanJuan_,"19:10
It totally does look like it was Tobi from Deji’s pov 🤣🤣🤣",2023-10-27T12:47:50Z
256,Omar.2012...,love u lachyy,2023-10-26T23:07:24Z
257,deacon7225,"I really love the amount of details that is being put into these videos i mean just the moment were lachlan is watching tiktoks, they have remplacer the actual TikTok with the TikTok of bez being sus",2023-10-26T16:43:51Z
258,Nuggetnes,Anns,2023-10-26T15:42:27Z
259,userrrrr22-2,"I hate how lazarbeam and Danny hate each other, lazar was my favourite YouTuber when he uploaded and after he stopped uploading it was Danny",2023-10-25T22:29:31Z
260,lgc9652,Danny actually got that last call bang on and he’s getting called lucky for spotting tobi running from where the body was. Here to give you your flowers king,2023-10-25T17:03:40Z
261,guidomista9848,Lannan went crazy this vid,2023-10-25T15:07:19Z
262,telmintor2810,25:10 what is thisss,2023-10-25T11:15:29Z
263,Rxfl3xsions,Mushu finally wanted to be on camera with the sidemen,2023-10-24T03:54:50Z
264,shallow1006,Deji is a third imposed without even knowing it😂,2023-10-24T03:20:29Z
265,xiinojulie,dejis laugh has to be the most contagious thing ever,2023-10-23T10:09:22Z
266,jonathantrom5199,"that was a really smooth way to cover a body ""skip so he can hit the 20th asteroid or the world will end"" lazerbeam",2023-10-23T00:43:41Z
267,z0d10grapher7,no one can say lazarbeam doesnt bring content,2023-10-22T22:56:58Z
268,zulzo,25:09 there’s no way lachlan wasn’t in on it,2023-10-22T19:02:02Z
269,lordvad3r669,Always feel they are scraping the bottom of the barrel whe  they put callux in a video hes trash the rest are awesome but not callux,2023-10-22T12:37:34Z
270,YingDat,Danny Arron’s calling some one a virgin is so funny to me 🤣,2023-10-22T11:50:30Z
271,TheForsakenSentry,8:43 Callux calling Deji Doji/Dodgy 🤣🤣🤣,2023-10-21T19:46:03Z
272,kwsktvYT,W lanan,2023-10-21T01:03:10Z
273,Mahfknamsayn,"Sidemen really said "" we can't have ksi, what's the second best thing? DEJI!""",2023-10-20T19:12:40Z
274,kingkunta3294,"Ethan, Tobi, Deji & Danny Aaron = 4 IQ",2023-10-20T16:52:00Z
275,ManjeetK01,15:58,2023-10-20T11:59:17Z
276,elijahk193,"Bro ""Dodgy"" is so fking stupid bro... I dont even understand why they are even inviting him to play...",2023-10-19T21:41:13Z
277,mrgamer6362,why the fuck is Callux's video is in 240p bro,2023-10-19T10:38:05Z
278,Ikorkorbnhicsmy,This game is still relevant?,2023-10-18T20:43:24Z
279,heavxnly_,"12:24 ""Oh I have to lie to my friends agaaainn.."" - Vik
was kinda precious and funny ☠️",2023-10-17T21:16:05Z
280,jacobmulligan175,“That’s enough for me” Lannan 2023,2023-10-17T19:48:09Z
281,arifariffin6468,IRL imposter 😂,2023-10-17T14:05:10Z
282,chalattil,25:11 someone needs to make a meme template from this picture,2023-10-17T12:01:51Z
283,Flitch300,22:00 - Those noises coming from him tho! 😂,2023-10-17T03:21:57Z
284,j_wild_80x62,Sidemen Among us is top tier content and I hope it never ends haha,2023-10-16T22:36:08Z
285,yezz-_-3570,tobiiiiii,2023-10-16T18:03:55Z
286,ROSHANRSVLOG,When people go Out on each other  20:36 remember vik has spoken the game,2023-10-16T16:23:12Z
287,ROSHANRSVLOG,Lazer is really the only one who brings pewdiepie lobby logic in Sidemen lobby,2023-10-16T16:21:00Z
288,archieelcocks1123,cal still uses bandicam,2023-10-15T22:31:40Z
289,i.d.g7683,This could be the greatest sidemen among us,2023-10-15T19:35:00Z
290,DeathDrager,Tobiiii,2023-10-15T10:28:48Z
291,brianm8972,I love dejis reacts to everything. It is simdog simdog. Wait no.,2023-10-15T01:48:05Z
